nodes,flows,pps,pkt_size,speed_ms,wpan_area,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
20,10,100,1024,5,200,40,0.101559,242.971,84.6827,12.108,2.69407
20,10,100,1024,10,200,40,0.0924273,268.802,81.6718,15.1074,2.66634
20,10,100,1024,15,200,40,0.0978833,242.327,83.524,14.4165,2.68207
20,10,100,1024,20,200,40,0.0690052,238.207,75.3595,20.1342,2.58113
20,10,100,1024,25,200,40,0.0949016,272.25,82.9705,13.9191,2.66864
20,10,200,1024,5,200,40,0.0969732,338.83,81.0022,16.1556,2.68659
20,10,200,1024,10,200,40,0.107255,528.31,84.5815,12.8488,2.71149
20,10,200,1024,15,200,40,0.0881901,225.521,78.9013,17.5955,2.65847
20,10,200,1024,20,200,40,0.0952536,243.787,81.5242,16.0123,2.68023
20,10,200,1024,25,200,40,0.0790805,427.388,80.1406,16.5202,2.60613
20,10,300,1024,5,200,40,0.0950419,257.877,80.6115,15.4362,2.68016
20,10,300,1024,10,200,40,0.0979191,383.795,81.8933,13.9745,2.68285
20,10,300,1024,15,200,40,0.0809976,175.045,78.7342,16.6245,2.62683
20,10,300,1024,20,200,40,0.0909158,196.852,79.9234,16.3218,2.6671
20,10,300,1024,25,200,40,0.103016,412.112,84.3588,13.195,2.69705
20,10,400,1024,5,200,40,0.0924442,521.869,78.8956,15.1286,2.6685
20,10,400,1024,10,200,40,0.0950541,381.946,78.7791,16.7151,2.68539
20,10,400,1024,15,200,40,0.0711341,252.244,78.4936,19.1278,2.57963
20,10,400,1024,20,200,40,0.0919972,234.594,81.4458,15.8233,2.6632
20,10,400,1024,25,200,40,0.0951689,465.962,81.6858,12.7969,2.6675
20,10,500,1024,5,200,40,0.0847407,318.139,80.8055,16.8809,2.63009
20,10,500,1024,10,200,40,0.100505,388.236,79.489,16.3946,2.70519
20,10,500,1024,15,200,40,0.0814833,235.675,82.0896,15.6277,2.61663
20,10,500,1024,20,200,40,0.0758014,225.303,79.3296,18.4358,2.59959
20,10,500,1024,25,200,40,0.0941704,381.153,82.1844,14.1751,2.66451
20,20,100,1024,5,200,40,0.101559,242.971,84.6827,12.108,2.69407
20,20,100,1024,10,200,40,0.0924273,268.802,81.6718,15.1074,2.66634
20,20,100,1024,15,200,40,0.0978833,242.327,83.524,14.4165,2.68207
20,20,100,1024,20,200,40,0.0690052,238.207,75.3595,20.1342,2.58113
